ImageId,Label
1,7
2,0
3,9
4,0
5,3
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,4
14,0
15,4
16,3
17,3
18,9
19,9
20,0
21,9
22,9
23,7
24,5
25,7
26,4
27,7
28,7
29,4
30,7
31,7
32,5
33,4
34,3
35,6
36,7
37,5
38,5
39,9
40,6
41,7
42,7
43,4
44,9
45,6
46,7
47,8
48,3
49,6
50,7
51,6
52,8
53,8
54,3
55,8
56,7
57,9
58,8
59,7
60,8
61,4
62,9
63,7
64,0
65,0
66,0
67,9
68,9
69,0
70,9
71,6
72,5
73,8
74,8
75,7
76,8
77,5
78,9
79,7
80,3
81,5
82,9
83,9
84,8
85,9
86,0
87,4
88,3
89,6
90,7
91,3
92,0
93,6
94,6
95,9
96,4
97,3
98,9
99,7
100,4
101,0
102,3
103,3
104,0
105,7
106,3
107,0
108,5
109,0
110,8
111,0
112,0
113,4
114,7
115,9
116,7
117,9
118,9
119,3
120,3
121,3
122,7
123,8
124,8
125,6
126,3
127,8
128,7
129,7
130,4
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,9
139,3
140,6
141,9
142,3
143,4
144,5
145,5
146,8
147,7
148,7
149,3
150,8
151,4
152,3
153,5
154,6
155,5
156,3
157,7
158,5
159,7
160,8
161,3
162,0
163,4
164,5
165,9
166,3
167,7
168,6
169,3
170,0
171,3
172,7
173,8
174,6
175,9
176,3
177,7
178,8
179,9
180,8
181,4
182,3
183,5
184,8
185,4
186,9
187,3
188,9
189,6
190,0
191,6
192,9
193,4
194,9
195,6
196,0
197,9
198,7
199,6
200,9
201,9
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,3
211,0
212,9
213,3
214,6
215,3
216,7
217,9
218,6
219,3
220,4
221,9
222,3
223,9
224,8
225,7
226,0
227,4
228,6
229,9
230,0
231,0
232,4
233,9
234,9
235,7
236,3
237,8
238,3
239,8
240,6
241,8
242,6
243,3
244,8
245,5
246,5
247,9
248,8
249,3
250,4
251,9
252,7
253,9
254,3
255,8
256,4
257,5
258,9
259,4
260,5
261,6
262,3
263,3
264,5
265,7
266,0
267,6
268,8
269,3
270,4
271,6
272,0
273,6
274,3
275,9
276,5
277,9
278,5
279,8
280,4
281,0
282,9
283,7
284,0
285,5
286,3
287,7
288,9
289,9
290,9
291,5
292,7
293,7
294,9
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,9
303,8
304,7
305,6
306,3
307,7
308,9
309,4
310,5
311,8
312,5
313,9
314,8
315,0
316,3
317,8
318,4
319,9
320,8
321,4
322,7
323,9
324,9
325,8
326,4
327,5
328,9
329,5
330,3
331,6
332,3
333,9
334,3
335,0
336,9
337,0
338,0
339,6
340,0
341,6
342,3
343,9
344,8
345,6
346,0
347,6
348,5
349,3
350,3
351,6
352,7
353,7
354,3
355,5
356,8
357,3
358,9
359,8
360,7
361,8
362,6
363,3
364,8
365,4
366,3
367,3
368,8
369,9
370,6
371,4
372,8
373,7
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,6
382,5
383,5
384,9
385,3
386,6
387,7
388,7
389,3
390,7
391,9
392,7
393,9
394,9
395,6
396,9
397,9
398,9
399,7
400,3
401,9
402,7
403,6
404,9
405,9
406,9
407,9
408,3
409,8
410,6
411,5
412,0
413,4
414,9
415,7
416,3
417,9
418,9
419,3
420,3
421,9
422,6
423,6
424,5
425,3
426,9
427,4
428,7
429,9
430,7
431,4
432,8
433,5
434,8
435,0
436,9
437,3
438,9
439,5
440,0
441,8
442,4
443,7
444,4
445,4
446,4
447,9
448,5
449,3
450,9
451,9
452,7
453,6
454,9
455,5
456,9
457,7
458,3
459,5
460,6
461,6
462,7
463,5
464,0
465,5
466,9
467,7
468,4
469,4
470,9
471,9
472,4
473,9
474,5
475,6
476,0
477,7
478,3
479,9
480,0
481,4
482,8
483,9
484,7
485,7
486,9
487,4
488,8
489,3
490,7
491,7
492,4
493,3
494,4
495,6
496,7
497,6
498,3
499,3
500,0
501,6
502,5
503,9
504,4
505,9
506,8
507,3
508,3
509,0
510,9
511,7
512,6
513,8
514,7
515,5
516,3
517,5
518,7
519,4
520,3
521,6
522,9
523,0
524,7
525,7
526,9
527,0
528,9
529,9
530,7
531,0
532,5
533,3
534,8
535,3
536,5
537,6
538,5
539,4
540,3
541,0
542,3
543,8
544,3
545,0
546,3
547,0
548,9
549,7
550,9
551,9
552,3
553,0
554,5
555,0
556,0
557,7
558,5
559,6
560,3
561,0
562,3
563,8
564,9
565,6
566,5
567,4
568,9
569,9
570,4
571,6
572,5
573,3
574,6
575,0
576,4
577,8
578,8
579,4
580,3
581,5
582,9
583,7
584,6
585,9
586,9
587,7
588,3
589,8
590,0
591,8
592,8
593,4
594,5
595,3
596,6
597,6
598,6
599,0
600,3
601,5
602,9
603,7
604,9
605,0
606,7
607,8
608,5
609,6
610,4
611,7
612,4
613,3
614,3
615,7
616,4
617,7
618,0
619,0
620,9
621,8
622,5
623,9
624,4
625,0
626,8
627,9
628,9
629,6
630,3
631,6
632,9
633,8
634,6
635,9
636,4
637,7
638,7
639,8
640,3
641,7
642,9
643,9
644,6
645,7
646,3
647,4
648,8
649,9
650,8
651,4
652,9
653,0
654,7
655,8
656,8
657,4
658,3
659,3
660,7
661,8
662,3
663,4
664,0
665,4
666,8
667,9
668,3
669,3
670,6
671,3
672,9
673,4
674,3
675,8
676,7
677,3
678,7
679,6
680,0
681,6
682,9
683,8
684,9
685,9
686,3
687,4
688,6
689,9
690,9
691,3
692,6
693,0
694,9
695,8
696,4
697,3
698,9
699,8
700,8
701,4
702,0
703,5
704,0
705,6
706,0
707,4
708,4
709,6
710,6
711,3
712,8
713,9
714,5
715,9
716,6
717,3
718,3
719,7
720,8
721,9
722,3
723,9
724,0
725,9
726,0
